loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.8324079513549805,,0.0,0.0009350163627863488,1,,,,,
2.5871684551239014,6.646416187286377,0.00012,0.004675081813931743,5,,,,,
0.876506233215332,1.6330676078796387,0.0001936842105263158,0.009350163627863487,10,,,,,
0.35557987689971926,0.8372938632965088,0.0001831578947368421,0.014025245441795231,15,,,,,
0.32705624103546144,0.698962926864624,0.00017263157894736842,0.018700327255726974,20,,,,,
0.27634875774383544,0.6131042242050171,0.00016210526315789473,0.02337540906965872,25,,,,,
0.22041635513305663,0.8288021087646484,0.00015157894736842108,0.028050490883590462,30,,,,,
0.2139669418334961,0.7270632386207581,0.00014105263157894736,0.03272557269752221,35,,,,,
0.23321118354797363,0.7591075897216797,0.0001305263157894737,0.03740065451145395,40,,,,,
0.2668477773666382,0.6547677516937256,0.00012,0.04207573632538569,45,,,,,
0.2787208080291748,0.7463130354881287,0.00010947368421052633,0.04675081813931744,50,,,,,
0.2631978988647461,0.8231439590454102,9.894736842105263e-05,0.051425899953249185,55,,,,,
0.24777071475982665,0.652860701084137,8.842105263157894e-05,0.056100981767180924,60,,,,,
0.187608540058136,0.407650887966156,7.789473684210526e-05,0.06077606358111267,65,,,,,
0.2254279375076294,0.5634709596633911,6.736842105263159e-05,0.06545114539504442,70,,,,,
0.20970141887664795,0.7850047945976257,5.68421052631579e-05,0.07012622720897616,75,,,,,
0.19908360242843628,0.712158739566803,4.6315789473684214e-05,0.0748013090229079,80,,,,,
0.1890813708305359,0.7068154811859131,3.578947368421053e-05,0.07947639083683965,85,,,,,
0.187599778175354,0.5974841117858887,2.5263157894736845e-05,0.08415147265077139,90,,,,,
0.20366122722625732,0.6258609890937805,1.4736842105263157e-05,0.08882655446470314,95,,,,,
0.20812840461730958,0.6884570121765137,4.210526315789474e-06,0.09350163627863488,100,,,,,
,,,0.09350163627863488,100,1086.3829,0.736,0.092,1.254582170130432e+16,0.40030657112598417
